,parking,kids_pets_allowed,ceiling_m,garbage_trunk,building_type,floor,total_floors,new_price,new_rooms,new_renovation,new_balcony,new_windows,new_bathrooms,new_lift,st_rating,st_walk,area_total,area_liv,area_kit,utilities,ellit_appart,cost
0,100000,1,3.0,1,65000,5,16,500000,4,3,1,1,1,3,412724,9.0,200.0,115.99999999999999,20.0,11,1,82544800.0
1,100000,1,3.5,0,85000,5,16,500000,4,3,1,3,2,2,412724,8.0,198.0,95.0,18.0,10,1,81719352.0
2,100000,1,3.2,0,41000,5,16,500000,4,2,1,3,2,1,412724,7.0,200.0,116.0,4.0,11,1,82544800.0
3,100000,0,3.2,0,41000,5,6,400000,4,2,1,3,2,1,412724,3.0,170.0,95.0,17.0,11,0,70163080.0
4,45000,0,3.9,1,41000,12,26,225000,2,2,1,3,1,2,448036,7.0,58.0,38.0,5.0,9,1,25986088.0
5,45000,0,2.64,0,41000,3,7,470000,3,3,1,1,1,1,412724,5.0,92.0,53.36,11.04,9,1,37970608.0
6,45000,1,3.2,0,41000,4,5,350000,5,2,1,3,1,1,448036,4.0,213.0,140.0,20.0,9,0,95431668.0
7,100000,1,3.2,0,65000,2,4,250000,3,2,1,2,2,1,412724,3.0,98.0,63.0,9.0,9,0,40446952.0
8,50000,0,3.0,0,90000,5,10,130000,3,2,1,1,1,1,412724,9.0,120.0,95.0,10.0,8,0,49526880.0
9,50000,1,310.0,1,90000,2,7,210000,4,2,1,3,2,1,448036,10.0,90.0,66.0,10.0,9,0,40323240.0
10,100000,1,3.2,0,41000,6,7,290000,4,2,1,3,2,1,412724,5.0,170.0,94.0,10.0,11,0,70163080.0
11,45000,0,2.64,0,50000,4,8,100000,3,2,3,3,1,1,412724,2.0,80.0,53.0,11.0,8,0,33017920.0
12,45000,1,2.64,0,50000,2,4,200000,3,3,1,2,1,1,412724,8.0,100.0,80.0,10.0,11,0,41272400.0
13,45000,1,2.64,0,65000,6,8,500000,5,3,1,1,2,2,412724,9.0,180.0,150.0,20.0,11,0,74290320.0
14,100000,0,2.64,0,65000,5,9,450000,5,2,1,1,1,1,465229,5.0,222.2,128.87599999999998,20.0,7,1,103373883.8
15,45000,0,2.64,1,65000,5,9,450000,5,3,1,1,1,2,465229,6.0,225.0,130.5,20.0,1,1,104676525.0
16,45000,1,2.64,0,41000,19,26,120000,2,2,1,1,1,1,448036,10.0,30.0,20.0,5.5,11,1,13441080.0
17,45000,1,2.64,0,41000,5,9,450000,5,3,1,1,1,1,448036,5.0,222.0,128.76,20.0,10,1,99463992.0
18,45000,0,2.64,0,50000,4,7,180000,5,2,1,1,1,1,452814,12.0,150.0,87.0,18.0,8,0,67922100.0
19,45000,1,3.2,0,41000,3,3,190000,5,2,1,3,2,1,465229,6.0,201.0,162.0,16.0,10,0,93511029.0
20,45000,1,2.64,0,41000,12,26,205000,2,2,1,1,1,1,448036,9.0,64.0,50.0,8.0,9,1,28674304.0
21,100000,1,3.2,0,41000,2,7,230000,3,2,1,3,1,1,465229,5.0,112.0,77.0,8.0,10,0,52105648.0
22,45000,0,2.64,0,41000,4,5,590000,4,3,1,1,1,1,412724,5.0,190.0,110.19999999999999,20.0,8,0,78417560.0
23,45000,1,2.64,0,65000,8,9,850000,5,2,1,2,2,1,448036,8.0,255.6,204.0,20.0,11,1,114518001.6
24,50000,1,3.3,1,200000,3,3,190000,5,2,1,3,1,1,448036,5.0,186.0,158.0,20.0,10,0,83334696.0
25,45000,1,3.2,0,41000,3,8,200000,3,2,1,3,1,1,448036,5.0,100.0,61.0,16.0,11,1,44803600.0
26,45000,0,2.64,0,41000,4,7,200000,5,2,1,2,1,1,448036,11.0,150.0,139.0,9.0,9,0,67205400.0
27,45000,1,2.64,0,41000,2,7,300000,5,3,1,1,1,1,412724,7.0,140.0,123.0,15.0,7,0,57781360.0
28,45000,1,2.64,0,65000,5,13,400000,3,2,1,1,1,1,448036,15.0,132.8,106.0,15.936,11,1,59499180.800000004
